drug1,drug2,enzyme_overlap,target_overlap,pathway_overlap,transporter_overlap,side_effect_overlap,interaction,risk_score,severity
Celecoxib,Silodosin,None,None,None,None,None,0,0.0298,LOW
Naproxen,Alendronate,None,None,None,None,None,0,0.0734,LOW
Enalapril,Methylprednisolone,None,None,None,None,None,0,0.0622,LOW
Dexlansoprazole,Nimodipine,CYP3A4,None,None,P-glycoprotein (P-gp),Headache,1,0.6655,HIGH
Doxepin,Torsemide,None,None,None,None,None,0,0.0198,LOW
Benazepril,Nebivolol,None,None,None,None,None,0,0.0236,LOW
Terazosin,Brexpiprazole,CYP2D6;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5857,HIGH
Quinapril,Irbesartan,None,None,Renin-angiotensin-aldosterone system (RAAS),None,Hyperkalemia;Hypotension,1,0.3905,MEDIUM
Midazolam,Furosemide,None,None,None,None,None,0,0.0782,LOW
Fluvastatin,Chlordiazepoxide,CYP3A4,None,None,None,None,1,0.403,MEDIUM
Verapamil,Fluvoxamine,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Bisoprolol,Albuterol,None,Beta-2 adrenergic receptor,None,None,None,0,0.1143,LOW
Moxifloxacin,Lacosamide,None,None,None,None,None,0,0.0524,LOW
Losartan,Eletriptan,None,None,None,None,Dizziness,0,0.1164,LOW
Celecoxib,Lacosamide,CYP2C9,None,None,None,None,1,0.4458,MEDIUM
Sumatriptan,Betamethasone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Gliclazide,Olodaterol,None,None,None,None,None,0,0.0261,LOW
Phenytoin,Clozapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4715,MEDIUM
Nimodipine,Liraglutide,None,None,None,None,None,0,0.0712,LOW
Alfuzosin,Brexpiprazole,CYP2D6;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5867,HIGH
Rosuvastatin,Meloxicam,None,None,None,None,None,0,0.0616,LOW
Ramipril,Dexlansoprazole,None,None,None,None,None,0,0.0337,LOW
Timolol,Bumetanide,None,None,None,None,None,0,0.0234,LOW
Chlordiazepoxide,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Dexamethasone,Levalbuterol,None,None,None,None,None,0,0.0124,LOW
Verapamil,Alogliptin,None,None,None,P-glycoprotein (P-gp),Headache,0,0.2036,LOW
Metformin,Fidaxomicin,None,None,None,None,None,0,0.0144,LOW
Pantoprazole,Oxazepam,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5152,HIGH
Gemifloxacin,Terazosin,None,None,None,None,None,0,0.0476,LOW
Budesonide,Doxepin,None,None,None,P-glycoprotein (P-gp),Weight gain,0,0.2889,MEDIUM
Paroxetine,Diazepam,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.5495,HIGH
Metoprolol,Bumetanide,None,None,None,None,None,0,0.0528,LOW
Ibandronate,Aripiprazole,None,None,None,None,None,0,0.0266,LOW
Nifedipine,Brexpiprazole,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5045,HIGH
Moexipril,Rabeprazole,None,None,None,None,None,0,0.0586,LOW
Amitriptyline,Aripiprazole,CYP2D6;CYP1A2,None,None,P-glycoprotein (P-gp),QTc prolongation;Sedation,1,0.7391,HIGH
Atorvastatin,Ritonavir,None,None,None,None,None,0,0.05,LOW
Timolol,Lorazepam,None,None,None,P-glycoprotein (P-gp),None,0,0.1197,LOW
Perindopril,Topiramate,None,None,None,None,None,0,0.0317,LOW
Rosuvastatin,Metformin,None,None,None,None,None,0,0.0335,LOW
Salmeterol,Bumetanide,None,None,None,None,Hypokalemia,1,0.154,LOW
Topiramate,Amitriptyline,None,None,None,P-glycoprotein (P-gp),None,1,0.1183,LOW
Lopinavir,Brexpiprazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1124,LOW
Risedronate,Phenytoin,None,None,None,None,None,0,0.0246,LOW
Diltiazem,Itraconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1309,LOW
Fluoxetine,Desipramine,CYP2D6,Serotonin transporter (SERT),None,P-glycoprotein (P-gp),None,1,0.5979,HIGH
Escitalopram,Paliperidone,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5406,HIGH
Fluoxetine,Sertraline,CYP2D6;CYP2C19,Serotonin transporter (SERT),Serotonergic neurotransmission pathway,P-glycoprotein (P-gp),Nausea;Weight changes;Insomnia;Sexual dysfunction;Serotonin syndrome,1,0.9901,CRITICAL
Gemifloxacin,Ranitidine,None,None,None,MATE1,None,1,0.1028,LOW
Simvastatin,Itraconazole,None,None,None,None,None,0,0.0372,LOW
Piroxicam,Phenytoin,CYP2C9,None,None,None,None,1,0.4118,MEDIUM
Temazepam,Linagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Escitalopram,Darunavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Isavuconazole,Bumetanide,None,None,None,None,None,0,0.0228,LOW
Almotriptan,Dulaglutide,None,None,None,None,None,0,0.0788,LOW
Ciprofloxacin,Levalbuterol,None,None,None,None,None,0,0.0246,LOW
Canagliflozin,Hydrochlorothiazide,None,None,None,None,None,0,0.0483,LOW
Isradipine,Famotidine,None,None,None,None,Dizziness;Headache,0,0.1372,LOW
Ketorolac,Salmeterol,None,None,None,None,None,0,0.0545,LOW
Diltiazem,Edoxaban,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.454,MEDIUM
Glimepiride,Oxazepam,None,None,None,None,None,0,0.0191,LOW
Telmisartan,Ranitidine,None,None,None,None,Dizziness,0,0.1326,LOW
Dapagliflozin,Ertugliflozin,UGT2B7;UGT1A9,Sodium-glucose cotransporter 2 (SGLT2 / SLC5A2),Renal glucose reabsorption pathway,P-glycoprotein (P-gp);BCRP,Euglycemic diabetic ketoacidosis;Genitourinary tract infections;Polyuria,1,1.0,CRITICAL
Perindopril,Midazolam,None,None,None,None,None,0,0.0749,LOW
Diltiazem,Exenatide,None,None,None,None,None,0,0.0632,LOW
Simvastatin,Clonazepam,CYP3A4,None,None,None,None,1,0.3991,MEDIUM
Lovastatin,Rosuvastatin,CYP3A4,HMG-CoA reductase (HMGCR),Cholesterol biosynthesis pathway,OATP1B1;BCRP,Increased liver enzymes;Myalgia;Rhabdomyolysis;Headache,1,1.0,CRITICAL
Norfloxacin,Salmeterol,None,None,None,None,None,0,0.0783,LOW
Dexlansoprazole,Pamidronate,None,None,None,None,None,0,0.0587,LOW
Rivaroxaban,Triazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5249,HIGH
Sotagliflozin,Lopinavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1114,LOW
Ciprofloxacin,Etidronate,None,None,None,None,None,0,0.0156,LOW
Pravastatin,Hydrocortisone,CYP3A4,None,None,None,None,1,0.3841,MEDIUM
Carvedilol,Posaconazole,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Zonisamide,Olodaterol,None,None,None,None,None,0,0.07,LOW
Nelfinavir,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1133,LOW
Almotriptan,Alfuzosin,None,None,None,P-glycoprotein (P-gp),Dizziness,0,0.2809,MEDIUM
Lovastatin,Carvedilol,None,None,None,None,None,0,0.0726,LOW
Alfuzosin,Amitriptyline,CYP2D6,None,None,P-glycoprotein (P-gp),Orthostatic hypotension,1,0.6106,HIGH
Fludrocortisone,Chlorthalidone,None,None,None,None,None,0,0.0605,LOW
Ritonavir,Dulaglutide,None,None,None,None,None,0,0.0356,LOW
Pravastatin,Benazepril,None,None,None,None,None,0,0.0533,LOW
Darunavir,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1148,LOW
Lorazepam,Furosemide,None,None,None,None,None,0,0.0424,LOW
Pitavastatin,Liraglutide,None,None,None,None,None,0,0.069,LOW
Enalapril,Escitalopram,None,None,None,None,None,0,0.0642,LOW
Formoterol,Dulaglutide,None,None,None,None,None,0,0.0262,LOW
Eprosartan,Triazolam,CYP3A4,None,None,None,None,1,0.3575,MEDIUM
Fluoxetine,Etodolac,None,None,None,None,None,0,0.0218,LOW
Escitalopram,Atazanavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Lopinavir,Ziprasidone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Diltiazem,Risedronate,None,None,None,None,None,0,0.0406,LOW
Etidronate,Vilanterol,None,None,None,None,None,0,0.0759,LOW
Gemifloxacin,Ritonavir,None,None,None,None,None,0,0.0666,LOW
Atorvastatin,Pamidronate,None,None,None,None,None,0,0.0358,LOW
Paroxetine,Phenytoin,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.5465,HIGH
Apixaban,Itraconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1247,LOW
Lansoprazole,Saquinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1017,LOW
Diclofenac,Dabigatran,CYP2C9,None,None,None,None,1,0.4356,MEDIUM
Glipizide,Fondaparinux,CYP2C9,None,None,None,None,1,0.4197,MEDIUM
Nelfinavir,Methylprednisolone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Betamethasone,Oxazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5004,HIGH
Quinapril,Ertugliflozin,None,None,None,None,None,0,0.0177,LOW
Indinavir,Chlorthalidone,None,None,None,None,None,0,0.0197,LOW
Quetiapine,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1079,LOW
Amlodipine,Famotidine,None,None,None,None,Dizziness;Headache,1,0.1927,LOW
Captopril,Ibandronate,None,None,None,None,None,0,0.0489,LOW
Telmisartan,Sumatriptan,None,None,None,None,Dizziness,0,0.1656,LOW
Ertugliflozin,Levalbuterol,None,None,None,None,None,0,0.0163,LOW
Azithromycin,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Sotagliflozin,Nortriptyline,None,None,None,P-glycoprotein (P-gp),None,1,0.1401,LOW
Atorvastatin,Simvastatin,CYP3A4,HMG-CoA reductase (HMGCR),Cholesterol biosynthesis pathway,OATP1B1;BCRP,Increased liver enzymes;Myalgia;Rhabdomyolysis;Headache,1,1.0,CRITICAL
Nadolol,Albuterol,None,Beta-2 adrenergic receptor,None,None,None,1,0.1008,LOW
Timolol,Itraconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1461,LOW
Tolbutamide,Naratriptan,None,None,None,None,None,0,0.0614,LOW
Darunavir,Dulaglutide,None,None,None,None,None,0,0.0797,LOW
Nimodipine,Olanzapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.533,HIGH
Ibandronate,Rizatriptan,None,None,None,None,None,0,0.0644,LOW
Ciprofloxacin,Methylprednisolone,None,None,None,None,None,0,0.0379,LOW
Darunavir,Lamotrigine,None,None,None,P-glycoprotein (P-gp),None,0,0.1373,LOW
Fondaparinux,Risperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.487,MEDIUM
Escitalopram,Triazolam,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.4968,MEDIUM
Timolol,Erythromycin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Metformin,Indacaterol,None,None,None,OCT1,None,0,0.1279,LOW
Ketorolac,Eletriptan,None,None,None,None,None,0,0.0458,LOW
Etodolac,Saxagliptin,None,None,None,None,None,0,0.046,LOW
Benazepril,Carbamazepine,None,None,None,None,None,0,0.02,LOW
Canagliflozin,Indapamide,None,None,None,None,None,0,0.0396,LOW
Fluvoxamine,Nortriptyline,CYP2D6,Serotonin transporter (SERT),None,P-glycoprotein (P-gp),None,1,0.5619,HIGH
Sumatriptan,Almotriptan,CYP1A2;MAO-A,5-HT1D receptor;5-HT1B receptor,Serotonergic vasoconstriction / Trigeminal inhibition,P-glycoprotein (P-gp),Dizziness;Chest tightness;Medication overuse headache;Paresthesia;Flushing,1,1.0,CRITICAL
Levofloxacin,Chlorpropamide,None,None,None,None,None,0,0.0712,LOW
Gliclazide,Etidronate,None,None,None,None,None,0,0.0227,LOW
Meloxicam,Vilanterol,None,None,None,None,None,0,0.0358,LOW
Escitalopram,Desipramine,CYP2D6,Serotonin transporter (SERT),None,P-glycoprotein (P-gp),None,1,0.5582,HIGH
Dexamethasone,Torsemide,None,None,None,None,None,0,0.0649,LOW
Felodipine,Fondaparinux,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5063,HIGH
Empagliflozin,Chlorthalidone,None,None,None,None,None,0,0.0348,LOW
Verapamil,Zonisamide,CYP3A4,None,None,P-glycoprotein (P-gp),Dizziness,1,0.6535,HIGH
Pantoprazole,Labetalol,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Alprazolam,Vildagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1213,LOW
Delafloxacin,Valsartan,None,None,None,None,None,0,0.0763,LOW
Verapamil,Levalbuterol,None,None,None,None,None,0,0.0383,LOW
Ibuprofen,Atazanavir,None,None,None,None,None,0,0.0756,LOW
Meloxicam,Lacosamide,CYP2C9,None,None,None,None,1,0.386,MEDIUM
Tolbutamide,Fluconazole,None,None,None,None,None,0,0.0304,LOW
Trandolapril,Clonazepam,None,None,None,None,None,0,0.033,LOW
Losartan,Fidaxomicin,None,None,None,None,None,0,0.0214,LOW
Paroxetine,Hydrocortisone,None,None,None,P-glycoprotein (P-gp),None,0,0.1207,LOW
Moxifloxacin,Frovatriptan,None,None,None,None,None,0,0.0618,LOW
Methylprednisolone,Lorazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5156,HIGH
Moexipril,Indomethacin,None,None,None,None,None,0,0.0224,LOW
Pantoprazole,Clozapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4881,MEDIUM
Delafloxacin,Oxcarbazepine,None,None,None,None,None,0,0.0731,LOW
Silodosin,Temazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4698,MEDIUM
Timolol,Levalbuterol,None,Beta-2 adrenergic receptor,None,None,None,0,0.1,LOW
Metoprolol,Metformin,None,None,None,None,None,0,0.0455,LOW
Zoledronic acid,Famotidine,None,None,None,None,None,0,0.0418,LOW
Piroxicam,Posaconazole,None,None,None,None,None,0,0.028,LOW
Glyburide,Warfarin,CYP2C9,None,None,None,None,1,0.3568,MEDIUM
Naratriptan,Formoterol,None,None,None,None,None,0,0.0635,LOW
Bisoprolol,Fludrocortisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Norfloxacin,Torsemide,None,None,None,OAT3,None,0,0.1291,LOW
Esomeprazole,Nortriptyline,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Ramipril,Cariprazine,None,None,None,None,None,0,0.0191,LOW
Nisoldipine,Valproate,CYP3A4,None,None,P-glycoprotein (P-gp),Dizziness,1,0.6761,HIGH
Dabigatran,Ziprasidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4546,MEDIUM
Paroxetine,Lurasidone,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5182,HIGH
Rivaroxaban,Brexpiprazole,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4889,MEDIUM
Zoledronic acid,Desipramine,None,None,None,None,None,0,0.0722,LOW
Topiramate,Lixisenatide,None,None,None,None,None,0,0.0334,LOW
Alprazolam,Linagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1397,LOW
Valsartan,Ibandronate,None,None,None,None,None,0,0.0428,LOW
Glyburide,Silodosin,None,None,None,None,None,0,0.0793,LOW
Ertugliflozin,Budesonide,None,None,None,P-glycoprotein (P-gp),None,1,0.1244,LOW
Doxazosin,Linagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1251,LOW
Irbesartan,Apixaban,CYP2C9;CYP3A4,None,None,BCRP,None,1,0.5506,HIGH
Celecoxib,Darunavir,None,None,None,None,None,0,0.0386,LOW
Eletriptan,Ritonavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Alprazolam,Chlorthalidone,None,None,None,None,None,0,0.0113,LOW
Levofloxacin,Midazolam,None,None,None,None,None,0,0.0526,LOW
Oxazepam,Semaglutide,None,None,None,None,None,0,0.0437,LOW
Carvedilol,Nadolol,CYP2D6,Beta-1 adrenergic receptor;Beta-2 adrenergic receptor,Adrenergic signaling pathway,P-glycoprotein (P-gp),Bronchospasm;Bradycardia;Cold extremities;Insomnia;Fatigue,1,0.9541,CRITICAL
Nizatidine,Indacaterol,None,None,None,None,None,0,0.0514,LOW
Piroxicam,Telmisartan,CYP2C9,None,None,None,None,1,0.3959,MEDIUM
Omeprazole,Clarithromycin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Lisinopril,Isradipine,None,None,None,None,None,0,0.0248,LOW
Empagliflozin,Indapamide,None,None,None,None,None,0,0.0481,LOW
Protriptyline,Cariprazine,CYP2D6;CYP1A2,None,None,P-glycoprotein (P-gp),QTc prolongation;Sedation,1,0.6972,HIGH
Budesonide,Linagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1403,LOW
Triazolam,Liraglutide,None,None,None,None,None,0,0.0402,LOW
Norfloxacin,Diclofenac,None,None,None,OAT3,None,0,0.1402,LOW
Paroxetine,Diclofenac,None,None,None,None,None,0,0.0632,LOW
Ibuprofen,Silodosin,None,None,None,None,None,0,0.044,LOW
Pravastatin,Alendronate,None,None,None,None,None,0,0.0373,LOW
Methylprednisolone,Aripiprazole,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4623,MEDIUM
Pitavastatin,Atazanavir,None,None,None,None,None,0,0.0373,LOW
Prazosin,Risperidone,CYP2D6;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.514,HIGH
Posaconazole,Dulaglutide,None,None,None,None,Nausea,0,0.1526,LOW
Posaconazole,Lorazepam,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Citalopram,Liraglutide,None,None,None,None,Nausea,1,0.1754,LOW
Fondaparinux,Metolazone,None,None,None,None,None,0,0.0441,LOW
Piroxicam,Etidronate,None,None,None,None,None,0,0.015,LOW
Amlodipine,Indapamide,None,None,None,None,None,0,0.0366,LOW
Gemifloxacin,Vilanterol,None,None,None,None,None,0,0.0327,LOW
Glyburide,Chlorthalidone,None,None,None,None,None,0,0.0604,LOW
Propranolol,Zoledronic acid,None,None,None,None,None,0,0.0341,LOW
Meloxicam,Doxepin,None,None,None,None,None,0,0.0702,LOW
Ciprofloxacin,Diclofenac,None,None,None,OAT3,None,0,0.1492,LOW
Enalapril,Moxifloxacin,None,None,None,None,None,0,0.0219,LOW
Glimepiride,Posaconazole,None,None,None,None,None,0,0.0786,LOW
Naproxen,Formoterol,None,None,None,None,None,0,0.0392,LOW
Dexamethasone,Paliperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4854,MEDIUM
Diclofenac,Naratriptan,None,None,None,None,None,0,0.0263,LOW
Telmisartan,Fludrocortisone,CYP3A4,None,None,None,None,1,0.366,MEDIUM
Ketoconazole,Phenytoin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Nadolol,Lamotrigine,None,None,None,P-glycoprotein (P-gp),None,0,0.1108,LOW
Rivaroxaban,Lixisenatide,None,None,None,None,None,0,0.0738,LOW
Levofloxacin,Empagliflozin,None,None,None,None,None,0,0.0786,LOW
Etodolac,Rivaroxaban,CYP2C9,None,None,None,None,1,0.4493,MEDIUM
Citalopram,Oxazepam,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.5095,HIGH
Warfarin,Hydrocortisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.524,HIGH
Rivaroxaban,Midazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4909,MEDIUM
Diclofenac,Cariprazine,None,None,None,None,None,0,0.0649,LOW
Bisoprolol,Indacaterol,None,Beta-2 adrenergic receptor,None,None,None,1,0.1368,LOW
Omeprazole,Glyburide,None,None,None,None,None,0,0.0742,LOW
Ertugliflozin,Zolmitriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1486,LOW
Diltiazem,Apixaban,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4818,MEDIUM
Ketorolac,Apixaban,CYP2C9,None,None,None,None,1,0.44,MEDIUM
Fosinopril,Zoledronic acid,None,None,None,None,None,0,0.0583,LOW
Frovatriptan,Liraglutide,None,None,None,None,None,0,0.0684,LOW
Escitalopram,Eletriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1035,LOW
Chlorpropamide,Ritonavir,None,None,None,None,None,0,0.0474,LOW
Meloxicam,Protriptyline,None,None,None,None,None,0,0.027,LOW
Delafloxacin,Topiramate,None,None,None,None,None,0,0.017,LOW
Naproxen,Indapamide,None,None,None,OAT1;OAT3,None,1,0.1,LOW
Diltiazem,Aripiprazole,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4543,MEDIUM
Bisoprolol,Erythromycin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Rabeprazole,Alendronate,None,None,None,None,None,0,0.0605,LOW
Cariprazine,Metolazone,None,None,None,None,None,0,0.0631,LOW
Alendronate,Levalbuterol,None,None,None,None,None,0,0.0578,LOW
Tolbutamide,Midazolam,None,None,None,None,None,0,0.0569,LOW
Moexipril,Tipranavir,None,None,None,None,None,0,0.0582,LOW
Indomethacin,Tamsulosin,None,None,None,None,None,0,0.0237,LOW
Lorazepam,Doxepin,None,None,None,P-glycoprotein (P-gp),Sedation,1,0.2928,MEDIUM
Fidaxomicin,Salmeterol,None,None,None,None,None,0,0.0574,LOW
Nortriptyline,Quetiapine,CYP2D6;CYP1A2,None,None,P-glycoprotein (P-gp),QTc prolongation;Sedation,1,0.6707,HIGH
Midazolam,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1396,LOW
Bumetanide,Linagliptin,None,None,None,None,None,0,0.051,LOW
Eletriptan,Prednisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Vilanterol,Bumetanide,None,None,None,None,Hypokalemia,0,0.1311,LOW
Nadolol,Indomethacin,None,None,None,None,None,0,0.0189,LOW
Etodolac,Ibandronate,None,None,None,None,None,0,0.0426,LOW
Nabumetone,Pamidronate,None,None,None,None,None,0,0.0344,LOW
Chlorthalidone,Metolazone,Not significantly metabolized,Na-Cl cotransporter (NCC);Na-K-2Cl cotransporter (NKCC2),Renal electrolyte handling pathway,OAT1;OAT3;OAT4,Ototoxicity (loops);Hyponatremia;Hypokalemia;Hyperuricemia;Dehydration,1,0.9896,CRITICAL
Bisoprolol,Lurasidone,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.4972,MEDIUM
Apixaban,Temazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.511,HIGH
Lisinopril,Zonisamide,None,None,None,None,None,0,0.0354,LOW
Moexipril,Glyburide,None,None,None,None,None,0,0.0528,LOW
Rosuvastatin,Lixisenatide,None,None,None,None,None,0,0.0555,LOW
Budesonide,Indacaterol,None,None,None,None,None,0,0.0153,LOW
Naratriptan,Clomipramine,CYP1A2,None,None,P-glycoprotein (P-gp),None,1,0.515,HIGH
Alendronate,Lamotrigine,None,None,None,None,None,0,0.0759,LOW
Gemifloxacin,Alprazolam,None,None,None,None,None,0,0.0307,LOW
Amitriptyline,Furosemide,None,None,None,None,None,0,0.0613,LOW
Gliclazide,Ketoconazole,None,None,None,None,None,0,0.0632,LOW
Escitalopram,Bumetanide,None,None,None,None,None,0,0.0451,LOW
Pravastatin,Esomeprazole,CYP3A4,None,None,None,Headache,1,0.5038,HIGH
Empagliflozin,Edoxaban,None,None,None,P-glycoprotein (P-gp);BCRP,None,0,0.143,LOW
Isavuconazole,Azithromycin,CYP3A4 (inhibitor),None,None,P-glycoprotein (P-gp),QTc prolongation;Hepatotoxicity,1,0.6159,HIGH
Nisoldipine,Triazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.493,MEDIUM
Omeprazole,Fluvoxamine,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.4569,MEDIUM
Azithromycin,Clomipramine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2755,MEDIUM
Fidaxomicin,Tipranavir,None,None,None,P-glycoprotein (P-gp),Hepatotoxicity,0,0.2185,LOW
Nebivolol,Lurasidone,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.4584,MEDIUM
Carvedilol,Ibuprofen,None,None,None,None,None,0,0.0597,LOW
Trandolapril,Rabeprazole,None,None,None,None,None,0,0.0219,LOW
Naproxen,Etodolac,CYP2C9;CYP2C8,Cyclooxygenase-2 (COX-2);Cyclooxygenase-1 (COX-1),Arachidonic acid metabolism / Prostaglandin synthesis,OAT1;OAT3,Fluid retention;Gastric ulceration;Cardiovascular risk;Nephrotoxicity,1,0.9893,CRITICAL
Fosinopril,Losartan,None,None,Renin-angiotensin-aldosterone system (RAAS),None,Hyperkalemia;Hypotension,1,0.3959,MEDIUM
Fidaxomicin,Formoterol,None,None,None,None,None,0,0.0308,LOW
Glipizide,Sumatriptan,None,None,None,None,None,0,0.0532,LOW
Lacosamide,Topiramate,CYP2C9;CYP2C19;CYP3A4,Voltage-gated sodium channel (SCN1A/SCN5A),Neuronal excitability pathway,P-glycoprotein (P-gp),Dizziness;Nystagmus;Leucopenia;Stevens-Johnson syndrome;Ataxia,1,1.0,CRITICAL
Ibandronate,Lamotrigine,None,None,None,None,None,0,0.068,LOW
Fosinopril,Timolol,None,None,None,None,None,0,0.0323,LOW
Saquinavir,Indinavir,CYP3A4 (strong inhibitor),HIV-1 protease,Viral polyprotein processing,MRP2;P-glycoprotein (P-gp),Lipodystrophy;Hepatotoxicity;Hyperlipidemia;GI distress;Insulin resistance,1,0.9555,CRITICAL
Nadolol,Ketoconazole,None,None,None,P-glycoprotein (P-gp),None,1,0.1353,LOW
Norfloxacin,Indacaterol,None,None,None,None,None,0,0.0752,LOW
Tolbutamide,Sumatriptan,None,None,None,None,None,0,0.0758,LOW
Simvastatin,Betamethasone,CYP3A4,None,None,None,None,1,0.4179,MEDIUM
Chlorpropamide,Imipramine,None,None,None,None,Weight gain,0,0.1416,LOW
Amlodipine,Nelfinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1236,LOW
Esmolol,Moxifloxacin,None,None,None,None,None,0,0.0162,LOW
Simvastatin,Rabeprazole,CYP3A4,None,None,None,Headache,1,0.5807,HIGH
Phenytoin,Ziprasidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4692,MEDIUM
